Date,Borough,Num of Noise Complaints,is_holiday,Weekday,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),Population,Home Value,House Income
2021-01-01,BRONX,437,True,Weekday,36.5,40.0,33.0,0.62,55696.0,388600.0,25979.0
2021-01-01,BROOKLYN,474,True,Weekday,36.5,40.0,33.0,0.62,44555.0,598000.0,42922.0
2021-01-01,MANHATTAN,500,True,Weekday,36.5,40.0,33.0,0.62,87199.0,637100.0,42721.0
2021-01-01,QUEENS,457,True,Weekday,36.5,40.0,33.0,0.62,30376.0,448200.0,50799.0
2021-01-01,STATEN ISLAND,88,True,Weekday,36.5,40.0,33.0,0.62,8395.0,414600.0,61925.0
2021-01-02,BRONX,608,False,Weekend,43.5,51.0,36.0,0.05,33601.0,391300.0,44012.0
2021-01-02,BROOKLYN,329,False,Weekend,43.5,51.0,36.0,0.05,40566.0,546300.0,42922.0
2021-01-02,MANHATTAN,501,False,Weekend,43.5,51.0,36.0,0.05,87199.0,716100.0,59929.0
2021-01-02,QUEENS,264,False,Weekend,43.5,51.0,36.0,0.05,28295.0,480900.0,52532.0
2021-01-02,STATEN ISLAND,31,False,Weekend,43.5,51.0,36.0,0.05,10852.0,403700.0,56848.0
2021-01-03,BRONX,319,False,Weekend,36.0,38.0,34.0,0.22,55696.0,369500.0,26754.0
2021-01-03,BROOKLYN,321,False,Weekend,36.0,38.0,34.0,0.22,47796.0,543800.0,40734.0
2021-01-03,MANHATTAN,324,False,Weekend,36.0,38.0,34.0,0.22,86722.0,637100.0,42721.0
2021-01-03,QUEENS,269,False,Weekend,36.0,38.0,34.0,0.22,35274.0,442900.0,52532.0
2021-01-03,STATEN ISLAND,36,False,Weekend,36.0,38.0,34.0,0.22,10852.0,414600.0,61925.0
2021-01-04,BRONX,247,False,Weekday,39.0,43.0,35.0,0.02,51207.0,391300.0,30288.0
2021-01-04,BROOKLYN,292,False,Weekday,39.0,43.0,35.0,0.02,44555.0,551900.0,43996.0
2021-01-04,MANHATTAN,314,False,Weekday,39.0,43.0,35.0,0.02,86722.0,672800.0,59929.0
2021-01-04,QUEENS,210,False,Weekday,39.0,43.0,35.0,0.02,27290.0,495800.0,52516.0
